Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Deck McGuire","LAA",1,1,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11596
"Total","Heath Hembree","PIT",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11632
"Total","Mayckol Guaipe","SEA",1,1,27,1,0,0,3,3,0,0,0,0,0,1,1,1,0.8808238506317139,11663
"Total","Luke Jackson","ATL",1,2,0,0,0,0,0,0,0,1,0,0,1,0,0.5,0,0.3451472520828247,11752
"Total","Kyle Ryan","CHC",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11753
"Total","Hansel Robles","2 Tms",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11801
"Total","Michael Feliz","2 Tms",2,1,54.00000054,0,0,0,2,2,0,0,0,0,0,0,0,0,0,11903
"Total","David Rollins","SEA",1,2,0,1,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.44041192531585693,11928
"Total","Matt Andriese","TBR",1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.6868430376052856,12022
"Total","Yimi Garcia","TOR",1,2,0,0,0,0,0,0,0,0,0,1,1,0,0.5,0,0.3630025088787079,12095
"Total","Domingo Tapia","SDP",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12178
"Total","Evan Marshall","CHW",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12297
"Total","Colin Rea","MIL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12317
"Total","Spencer Patton","TEX",1,1,36,1,0,0,4,4,1,0,0,0,0,1,1,4,2.0652942657470703,12361
"Total","Seth Lugo","NYM",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8790553212165833,12447
"Total","Tony Cingrani","CIN",2,3,0,0,0,0,0,0,0,1,0,0,0,0,0.333333333,0,0.22894767920176187,12555
"Total","Blake Treinen","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12572
"Total","Nick Ramirez","DET",2,2,13.50000014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12575
"Total","Adam Morgan","CHC",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12580
"Total","Nate Karns","SEA",1,1,27,1,1,0,3,3,0,0,0,0,0,1,1,2,1.242019534111023,12638
"Total","Chris Devenski","LAA",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12763
