Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Mat Latos","LAA",0.2,2,2,0,1,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0,3815
"Total","Ricky Nolasco","MIN",0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830
"Total","Matt Buschmann","ARI",0.1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3832
"Total","Zach Duke","5 Tms",27,114,2.75,0.130434782,0.637681159,0.231884057,0.0625,0.125,0.159090909,1,0.4,0.41428571,0.18571429,0.32857143,0.52857143,0.14285714,3840
"Total","Brett Oberholtzer","2 Tms",3.1,16,1,0.076923076,0.461538461,0.461538461,0,0,0,0,0.30769231,0.46153846,0.23076923,0.15384615,0.53846154,0.30769231,3855
"Total","Rubby De La Rosa","ARI",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3862
"Total","Gavin Floyd","2 Tms",5.2,21,0.625,0.071428571,0.357142857,0.571428571,0.25,0.125,0,0,0.35714286,0.35714286,0.28571429,0.14285714,0.57142857,0.28571429,3886
"Total","Josh Reddick","ARI",0.1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3892
"Total","Enrique Burgos","ARI",9,38,0.5,0.28,0.24,0.48,0.25,0,0,0,0.19230769,0.46153846,0.34615385,0.19230769,0.42307692,0.38461538,3895
"Total","Casey Fien","4 Tms",15,58,0.681818181,0.177777777,0.333333333,0.488888888,0.09090909,0.045454545,0,0,0.22222222,0.44444444,0.33333333,0.13333333,0.57777778,0.28888889,3926
"Total","Matt Magill","2 Tms",11,38,0.666666666,0.166666666,0.333333333,0.5,0.222222222,0,0,0,0.33333333,0.22222222,0.44444444,0.27777778,0.5,0.22222222,3950
"Total","David Carpenter","3 Tms",4.1,16,1,0,0.5,0.5,0,0,0,0,0.4,0.3,0.3,0.1,0.5,0.4,3959
"Total","Edward Mujica","3 Tms",4.1,21,0.75,0.125,0.375,0.5,0.125,0.375,0.166666666,0,0.5,0.25,0.25,0.125,0.3125,0.5625,3970
"Total","Edinson Volquez","TEX",0.1,2,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,3990
"Total","Allen Webster","CHC",1.2,8,5,0.142857142,0.714285714,0.142857142,0,0,0.2,0,0.28571429,0.42857143,0.28571429,0.42857143,0.42857143,0.14285714,3993
"Total","Enny Romero","3 Tms",15.1,75,1.235294117,0.208333333,0.4375,0.354166666,0,0.235294117,0.142857142,0,0.47916667,0.33333333,0.1875,0.10416667,0.45833333,0.4375,4001
"Total","Yusmeiro Petit","4 Tms",34,153,0.672413793,0.184873949,0.327731092,0.487394957,0.103448275,0.120689655,0.051282051,0.5,0.4214876,0.38016529,0.19834711,0.16528926,0.46280992,0.37190083,4020
"Total","Hector Santiago","3 Tms",7,39,0.636363636,0.28,0.28,0.44,0,0.09090909,0,0,0.32,0.32,0.36,0.04,0.48,0.48,4026
"Total","Steve Johnson","SEA",2,7,2,0,1,0,0,0,0,0,0.5,0.5,0,1,0,0,4053
"Total","Brian Duensing","3 Tms",10.2,49,0.933333333,0.194444444,0.388888888,0.416666666,0,0.2,0.071428571,0,0.37837838,0.35135135,0.27027027,0.16216216,0.43243243,0.40540541,4064
"Total","Pedro Strop","2 Tms",44.2,172,1.617647058,0.152380952,0.523809523,0.323809523,0.088235294,0.117647058,0,0,0.43809524,0.28571429,0.27619048,0.16190476,0.54285714,0.2952381,4070
"Total","Junichi Tazawa","3 Tms",29.1,110,0.966666666,0.169014084,0.408450704,0.422535211,0.2,0.166666666,0,1,0.45833333,0.36111111,0.18055556,0.20833333,0.41666667,0.375,4079
"Total","Dan Runzler","PIT",0.1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,4080
