Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Pedro Strop","2 Tms",13,58,1.666666666,0.225806451,0.483870967,0.29032258,0,0.222222222,0.2,0,0.41935484,0.25806452,0.32258065,0.09677419,0.5483871,0.35483871,4070
"Total","Junichi Tazawa","3 Tms",12,49,0.625,0.161290322,0.322580645,0.516129032,0.125,0.125,0,0,0.4516129,0.29032258,0.25806452,0.16129032,0.48387097,0.35483871,4079
"Total","Dan Runzler","PIT",0.1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080
"Total","Erik Cordier","MIA",1,4,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,4086
"Total","James Russell","2 Tms",2,8,1,0.142857142,0.428571428,0.428571428,0,0,0.333333333,0,0.42857143,0.14285714,0.42857143,0.14285714,0.71428571,0.14285714,4089
"Total","Luke Gregerson","2 Tms",2.2,10,5,0.25,0.625,0.125,0,0,0,0,0.625,0.375,0,0.375,0.375,0.25,4090
"Total","Carlos Villanueva","2 Tms",4.2,17,0.8,0.25,0.333333333,0.416666666,0.2,0,0,0,0.33333333,0.5,0.16666667,0.25,0.41666667,0.33333333,4138
"Total","Derek Holland","4 Tms",4.2,21,0.444444444,0.1875,0.25,0.5625,0,0.222222222,0,0,0.3125,0.4375,0.25,0.0625,0.625,0.3125,4141
"Total","Edward Paredes","LAD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4168
"Total","Rafael Dolis","TOR",2.2,12,0.666666666,0.285714285,0.285714285,0.428571428,0.333333333,0,0,0,0.57142857,0.28571429,0.14285714,0.14285714,0.85714286,0,4185
"Total","David Hernandez","4 Tms",17,68,0.9375,0.184210526,0.394736842,0.421052631,0.125,0,0.066666666,0,0.5,0.42105263,0.07894737,0.13157895,0.57894737,0.28947368,4259
"Total","Mark Melancon","4 Tms",5.1,22,2,0.117647058,0.588235294,0.294117647,0,0,0,0,0.35294118,0.23529412,0.41176471,0.29411765,0.29411765,0.41176471,4264
"Total","Manny Parra","CIN",2,11,1,0.25,0.375,0.375,0,0,0,0,0.5,0.5,0,0,0.625,0.375,4279
"Total","Matt Albers","3 Tms",13.2,61,2.857142857,0.228571428,0.571428571,0.2,0,0,0,0,0.37142857,0.42857143,0.2,0.25714286,0.42857143,0.31428571,4300
"Total","Justin Wilson","5 Tms",22.1,94,1.15,0.245614035,0.403508771,0.350877192,0.05,0.15,0.04347826,1,0.44827586,0.25862069,0.29310345,0.10344828,0.56896552,0.32758621,4301
