Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Aaron Loup","TOR",0.2,2,27.00000027,0,2,0,1,0,1,0,0,0,1,-2.8543833378930663,-2.8543833378930663,10343
"Total","Robbie Erlin","SDP",0.2,2,13.49999993,0,1,0,0.5,0,0.5,0,0,0,1,0.2140094907080079,3.197818298718823,10354
"Total","Mychal Givens","3 Tms",1.1,8,13.50000014,6.75000007,2,0,0.25,0.125,0.125,0.6,3.00000003,0.6,-1,2.403529517327823,7.207388955684811,10430
"Total","Hunter Cervenka","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,10510
"Total","Jake Petricka","CHW",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8664063100000003,-2.8664063100000003,10534
"Total","Scott Alexander","2 Tms",0.2,2,27.00000027,0,2,0,1,0,1,0,0,0,1,-2.8409644250054935,-2.8409644250054935,10591
"Total","Adam Liberatore","LAD",0,0,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,10637
"Total","Andrew Bellatti","PHI",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,8.215095670947981,10657
"Total","Trevor Rosenthal","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.214009475708008,3.214009475708008,10745
"Total","Shane Greene","DET",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,10756
"Total","Michael Mariot","PHI",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8534396771569823,-2.8534396771569823,10835
"Total","Christian Bergman","2 Tms",0.2,2,0,0,0,0,0,0,0,0,0,0,1,3.152100038528443,8.318710658956375,10925
"Total","Josh A. Smith","OAK",0.1,2,27.00000027,27.00000027,1,0,0.5,0.5,0,0,3.00000003,0,1,6.157639724213867,6.157639724213867,10946
"Total","Kevin Shackelford","CIN",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.842360365786133,-2.842360365786133,11012
"Total","Rob Rasmussen","SEA",0,1,0,0,0,0,0,0,0,1,1,1,-1,3.13359375,4.609267790615559,11250
"Total","Tyler Lyons","STL",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,11334
"Total","Tommy Kahnle","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.160431575775147,3.160431575775147,11384
"Total","Drew Pomeranz","2 Tms",0.2,3,27.00000027,13.50000014,2,0,0.66666667,0.33333333,0.33333333,0,1.50000002,0,1,1.6625065176690674,1.6625065176690674,11426
"Total","Jesse Biddle","2 Tms",0,1,0,0,0,0,0,0,0,1,1,1,-3,3.214009475708008,3.214009475708008,11437
"Total","Matt Grace","ARI",0,0,0,0,0,0,0,0,0,0,0,0,1,3.191419315338135,3.191419315338135,11449
"Total","Sammy Solis","WSN",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,3.1576396942138674,11457
"Total","Bryan Mitchell","NYY",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1576396942138674,8.494058644491584,11479
"Total","Joely Rodriguez","BOS",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,3.2550403594970705,11487
"Total","Brandon Cunniff","ATL",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1335937500000006,3.1335937500000006,11509
"Total","Josh Osich","CHC",0,1,0,0,0,0,0,0,0,0,0,0,1,3.191419315338135,3.191419315338135,11528
"Total","Dayan Diaz","CIN",0,1,0,0,0,9,0,0,0,1,1,0,7.5,16.146560382843017,4.812161129713059,11543
"Total","Heath Hembree","BOS",0,2,0,0,0,0,0,0,0,0.5,1,0.5,1,3.159035634994507,3.159035634994507,11632
"Total","Tayron Guerrero","MIA",0,0,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,11691
"Total","Sam Dyson","SFG",0.2,1,0,0,0,0,0,0,0,0,0,0,1,3.1604315757751467,3.1604315757751467,11710
"Total","Erik Goeddel","LAD",0.1,1,27.00000027,0,1,0,1,0,1,0,0,0,1,-2.8395684842248534,-2.8395684842248534,11712
"Total","Justin Grimm","2 Tms",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.159733605390061,8.496152555667779,11720
"Total","Luke Jackson","ATL",0.1,3,0,0,0,27.00000027,0,0,0,0.666666666,6.00000006,0.5,-3.33333333,42.214009865708015,9.181627181243904,11752
"Total","Kyle Ryan","DET",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,8.143362673421164,11753
"Total","Hansel Robles","2 Tms",2,8,18,0,4,0,0.5,0,0.5,0.142857142,0.5,0.33333333,0.5,0.6463965892159798,2.273636759009347,11801
"Total","Hector Neris","HOU",0.1,2,0,0,0,0,0,0,0,0.5,3.00000003,0.5,-1,3.148083340854281,8.108138652305191,11804
